track_id,title,genre_top,artist_name,license,subset,duration,listens,split
676,The Tension,Hip-Hop,Fanatic,CC BY-NC-SA,small,197,1225,training
690,Cataclysm,Rock,Flying Luttenbachers,CC BY-NC-SA,small,290,5724,validation
694,Planet Say (featuring Faust),Hip-Hop,Food For Animals,CC BY-NC-SA,small,291,7883,training
695,Elephants,Hip-Hop,Food For Animals,CC BY-NC-SA,small,104,2826,training
704,Mano De Dios,International,Fósforo,CC BY-NC-SA,small,310,2105,test
705,Tio Cocodrilo,International,Fósforo,CC BY-NC-SA,small,369,2545,test
706,Esto Es Califas,International,Fósforo,CC BY-NC-SA,small,312,1948,test
707,Cochabamba,International,Fósforo,CC BY-NC-SA,small,330,1922,test
708,Desconocido,International,Fósforo,CC BY-NC-SA,small,289,5007,test
709,Cumbia De Obama,International,Fósforo,CC BY-NC-SA,small,192,3812,test
714,Circle Moon,Folk,Fursaxa,CC BY-NC-SA,small,338,646,training
715,Kokopelli,Folk,Fursaxa,CC BY-NC-SA,small,283,928,training
716,Saxalainen,Folk,Fursaxa,CC BY-NC-SA,small,297,1252,training
718,Song Of The Spindle Berry,Folk,Fursaxa,CC BY-NC-SA,small,128,3061,training
777,Relaxing,Rock,Glove Compartment,CC BY-NC-SA,small,90,3247,training
821,Sir,Pop,Hecuba,CC BY-NC-SA,small,200,438,training
822,Tom & Jerry,Pop,Hecuba,CC BY-NC-SA,small,323,660,training
825,Death March,Rock,Here Comes A Big Black Cloud!!,CC BY-NC-SA,small,83,2262,training
853,Welsinsni Melodyi,International,Hutzl Ukranian Ensemble,CC BY-NC-SA,small,137,2374,training
890,Softly Tomorrow,Folk,Ilyas Ahmed,CC BY-NC-SA,small,297,1966,test
892,Phantom Sky,Folk,Ilyas Ahmed,CC BY-NC-SA,small,480,907,test
897,02,Experimental,Infinite Body,CC BY-NC-SA,small,275,1708,training
993,Or So I've Been Told,Rock,Jad Fair and Jason Willett,CC BY-NC-SA,small,86,3402,validation
995,No Good Deed Goes Unpunished,Experimental,Kevin Shields,CC BY-NC-SA,small,298,2753,training
997,Nothing's Ever Ending,Experimental,Kevin Shields,CC BY-NC-SA,small,520,1310,training
998,Apparently,Experimental,Kevin Shields,CC BY-NC-SA,small,475,844,training
1039,13 Monsters,Rock,Lightning Bolt,CC BY-NC-SA,small,169,3030,training
1040,Dracula Mountain,Rock,Lightning Bolt,CC BY-NC-SA,small,310,2166,training
1066,Helicopter de Cristal,Experimental,Lucky Dragons,CC BY-NC-SA,small,234,10700,test
1069,Un Lagrima en la Discoteca,Experimental,Lucky Dragons,CC BY-NC-SA,small,110,5661,test
1073,Onda Tocadisco,Experimental,Lucky Dragons,CC BY-NC-SA,small,93,3982,test
1075,Painful Corazon,Experimental,Lucky Dragons,CC BY-NC-SA,small,62,4628,test
1082,Nam Nhi-tu,International,M. Nguyen Van Minh-Con,CC BY-NC-SA,small,187,3761,training
1083,Feasting on Energy,Experimental,Magic Lantern,CC BY-NC-SA,small,472,1278,training
1087,Tell The Police The Truth,Rock,Mahjongg,CC BY-NC-SA,small,315,11275,validation
1102,Rare Vodka from the Fourteenth Century,Rock,Mary Halvorson and Weasel Walter,CC BY-NC-SA,small,327,2998,training
1249,"""Cleanse Bath"" 10"" Metal Laquer",Experimental,Nautical Almanac,CC BY-NC-SA,small,566,978,test
1259,Rolling In The Green,Experimental,Nautical Almanac,CC BY-NC-SA,small,208,2740,test
1270,Cocksuckerbastardmotherfucker,Rock,Necropolis,CC BY-NC-SA,small,149,3300,training
1277,No Business,Experimental,Negativland,CC BY-NC-SA,small,253,1892,training
1278,Downloading,Experimental,Negativland,CC BY-NC-SA,small,592,2556,training
1417,Guns of Thunder,Rock,Pierced Arrows,CC BY-NC-SA,small,232,6911,training
1427,I Feel Evils,Rock,Plastic Crimewave Sound,CC BY-NC-SA,small,248,2548,training
1443,Time Fist,Experimental,Pocahaunted,CC BY-NC-SA,small,423,1336,training
1482,Reindeer Dance,Electronic,Rainbro,CC BY-NC-SA,small,216,77299,training
1510,Zombie,Experimental,Ric Royer &amp; G. Lucas Crane,CC BY-NC-SA,small,91,1768,training
1642,Hrz,Pop,So Cow,CC BY-NC-SA,small,68,277,training
1644,Outskirts,Pop,So Cow,CC BY-NC-SA,small,146,579,training
1649,Inis Meain,Pop,So Cow,CC BY-NC-SA,small,139,673,training
1661,Only Fools and Horses Theme,Pop,So Cow,CC BY-NC-SA,small,127,693,training
1663,So High,Pop,Softboiled Eggies,CC BY-NC-SA,small,200,960,training
1666,She Fell Through the Trees,Pop,Softboiled Eggies,CC BY-NC-SA,small,282,568,training
1673,Track 07,Experimental,Solemn Man,CC BY-NC-SA,small,250,512,training
1680,Bashraf Salama,International,The Sounds of Taraab,CC BY-NC-SA,small,436,1240,training
1681,Daka Kozi Manowe,International,The Sounds of Taraab,CC BY-NC-SA,small,274,703,training
1682,Nie Zama Nie Sema,International,The Sounds of Taraab,CC BY-NC-SA,small,354,1668,training
1683,Mapenzi Matamu,International,The Sounds of Taraab,CC BY-NC-SA,small,312,518,training
1684,Mahaba Wa Taka Nini,International,The Sounds of Taraab,CC BY-NC-SA,small,230,3288,training
1685,Eni Wana Damu,International,The Sounds of Taraab,CC BY-NC-SA,small,308,517,training
1686,Rufiji,International,The Sounds of Taraab,CC BY-NC-SA,small,374,657,training
1687,"Lala, Mpenzi Lala",International,The Sounds of Taraab,CC BY-NC-SA,small,330,476,training
1688,Sishituki,International,The Sounds of Taraab,CC BY-NC-SA,small,285,423,training
1689,Unalo,International,The Sounds of Taraab,CC BY-NC-SA,small,543,500,training
1701,Clouds,Folk,Spires That in the Sunset Rise,CC BY-NC-SA,small,386,543,training
1702,Java Pop,Folk,Spires That in the Sunset Rise,CC BY-NC-SA,small,286,689,training
1703,Equus Haar,Folk,Spires That in the Sunset Rise,CC BY-NC-SA,small,288,2845,training
1704,Morning Song,Folk,Spires That in the Sunset Rise,CC BY-NC-SA,small,435,517,training
1706,In the Pineys,Rock,Strapping Fieldhands,CC BY-NC-SA,small,175,2308,training
1720,Harken Sunshine,Rock,Sun Araw,CC BY-NC-SA,small,269,3282,training
1732,Black Jerusalem,Experimental,Teeth Mountain,CC BY-NC-SA,small,341,1030,training
1733,Keinsein,Experimental,Teeth Mountain,CC BY-NC-SA,small,276,3544,training
1735,Ghost Science,Experimental,Teeth Mountain,CC BY-NC-SA,small,132,3332,training
1736,Soft Beast,Experimental,Teeth Mountain,CC BY-NC-SA,small,275,682,training
1883,I Do What I Do,Rock,The Yolks,CC BY-NC-SA,small,158,2403,training
1891,Kids In Cars,Rock,Thee Oh Sees,CC BY-NC-SA,small,303,4896,training
1893,Memories,Folk,Tommy Jay,CC BY-NC-SA,small,202,753,validation
1924,Calling For You,Folk,The Twin Atlas,CC BY-NC-SA,small,167,599,training
1925,Happy At The Wheel,Folk,The Twin Atlas,CC BY-NC-SA,small,170,1017,training
1929,Buzz Chant,Experimental,U.S. Girls,CC BY-NC-SA,small,216,4684,training
1930,So Thereby...and furthermore...thus henceforth...Mono,Rock,Upsilon Acrux,CC BY-NC-SA,small,233,2464,training
2012,The White Mice,Experimental,White Mice,CC BY-NC-SA,small,200,1383,validation
2096,title unknown,Experimental,Grouper,CC BY-NC-SA,small,453,1019,training
2099,....like bacon sundays,Pop,luc,CC BY-NC-SA,small,244,1106,training
3263,A Date,Folk,Ai Aso,CC BY-NC-SA,small,208,952,validation
3264,Tee Te Te,Folk,Ai Aso,CC BY-NC-SA,small,354,1178,validation
3265,Lavender,Folk,Ai Aso,CC BY-NC-SA,small,171,598,validation
3266,Land,Folk,Ai Aso,CC BY-NC-SA,small,248,550,validation
3492,On The Wings,Rock,Citay,CC BY-NC-SA,small,286,2718,training
3532,Heaven Is Human,Pop,Cryptacize,CC BY-NC-SA,small,170,2086,training
3533,New Spell,Pop,Cryptacize,CC BY-NC-SA,small,242,765,training
3534,Cosmic Sing-a-long,Pop,Cryptacize,CC BY-NC-SA,small,130,1461,training
3535,No Coins,Pop,Cryptacize,CC BY-NC-SA,small,208,779,training
3537,We'll Never Dream Again,Pop,Cryptacize,CC BY-NC-SA,small,247,537,training
3538,Say You Will,Pop,Cryptacize,CC BY-NC-SA,small,210,652,training
3573,Piggled,Electronic,Dan Deacon,CC BY-NC-SA,small,235,6678,training
3598,Little Eyes,Folk,Ed Askew,CC BY-NC-SA,small,139,903,training
3624,Days of Summer,Rock,Fallen Leaves,CC BY-NC-SA,small,184,2303,test
3707,Stable the Spuds,Folk,Gary Higgins,CC BY-NC-SA,small,341,1726,training
3708,Thicker Than A Smokey,Folk,Gary Higgins,CC BY-NC-SA,small,245,1525,training
3720,Walking on the Water,Rock,Indian Jewelry,CC BY-NC-SA,small,240,6074,training
3721,Pow Wow,Rock,Indian Jewelry,CC BY-NC-SA,small,318,3970,training
3722,Swans,Rock,Indian Jewelry,CC BY-NC-SA,small,202,9378,training
3724,Temporary Famine Ship,Rock,Indian Jewelry,CC BY-NC-SA,small,370,6095,training
3725,West Alabama,Rock,Indian Jewelry,CC BY-NC-SA,small,289,4229,training
3761,Improv,Rock,Kinski,CC BY-NC-SA,small,257,8178,training
3762,Snowy Parts of Scandinavia,Rock,Kinski,CC BY-NC-SA,small,541,5603,training
3763,Shelley Winters Overdrive,Rock,Kinski,CC BY-NC-SA,small,180,11532,training
3765,Waves of Second Guessing,Rock,Kinski,CC BY-NC-SA,small,444,3704,training
3766,Rhode Island Freakout,Rock,Kinski,CC BY-NC-SA,small,282,2979,training
3775,Cumbia Infierno,International,La Troba Kung-Fu,CC BY-NC-SA,small,594,4795,training
3776,La Canco de Lladre,International,La Troba Kung-Fu,CC BY-NC-SA,small,363,1831,training
3777,Volant,International,La Troba Kung-Fu,CC BY-NC-SA,small,445,2375,training
3778,Calor Calor,International,La Troba Kung-Fu,CC BY-NC-SA,small,258,4105,training
3779,Rock Rumba,International,La Troba Kung-Fu,CC BY-NC-SA,small,423,3031,training
3895,Invitita and de Cingheri from Transylvania,International,MetroFolk,CC BY-NC-SA,small,467,719,training
3896,Gypsy Csardas and Men's Dances from Kalotaszeg,International,MetroFolk,CC BY-NC-SA,small,374,1453,training
3904,Sometimes,Folk,Michael Chapman,CC BY-NC-SA,small,263,1869,training
3905,Twisted Road,Folk,Michael Chapman,CC BY-NC-SA,small,508,1320,training
3906,Sometimes,Folk,Michael Chapman,CC BY-NC-SA,small,264,1441,training
3908,Caddo Lake,Folk,Michael Chapman,CC BY-NC-SA,small,337,999,training
3909,Dewbury Road / That Time of Night,Folk,Michael Chapman,CC BY-NC-SA,small,410,1022,training
3910,Kodak Ghosts,Folk,Michael Chapman,CC BY-NC-SA,small,361,1786,training
3911,Dust Devils,Folk,Michael Chapman,CC BY-NC-SA,small,158,1334,training
3912,Fahey's Flag,Folk,Michael Chapman,CC BY-NC-SA,small,218,944,training
3913,Memhpis in Winter,Folk,Michael Chapman,CC BY-NC-SA,small,388,1475,training
3920,Fragrant Rota,Folk,Michael Holt,CC BY-NC-SA,small,194,1384,training
3921,Hiawatha's Lullaby,Folk,Michael Holt,CC BY-NC-SA,small,157,1449,training
4013,Ravens,Folk,Nalle,CC BY-NC-SA,small,353,791,training
4017,New Roots,Folk,Nalle,CC BY-NC-SA,small,403,611,training
4022,Can't Tell No One,Rock,Negative Approach,CC BY-NC-SA,small,79,3079,validation
4066,Soleade,Folk,Peter Walker,CC BY-NC-SA,small,255,412,training
4067,Por Rosa,Folk,Peter Walker,CC BY-NC-SA,small,273,329,training
4068,Alegrias Variation,Folk,Peter Walker,CC BY-NC-SA,small,341,649,training
4069,Tune on Karen Dalton's Guitar,Folk,Peter Walker,CC BY-NC-SA,small,233,1693,training
4091,1864,International,Polka Madre,CC BY-NC-SA,small,173,2850,training
4092,Nina Olga Vodka,International,Polka Madre,CC BY-NC-SA,small,159,1952,training
4093,Amsterdam,International,Polka Madre,CC BY-NC-SA,small,200,2211,training
4094,Vida Propia,International,Polka Madre,CC BY-NC-SA,small,157,1301,training
4095,Funeral Brahms,International,Polka Madre,CC BY-NC-SA,small,222,1887,training
4096,La Fin Du Monde,International,Polka Madre,CC BY-NC-SA,small,195,1350,training
4097,Clammy Hands,International,Polka Madre,CC BY-NC-SA,small,183,1305,training
4098,Russo Trap,International,Polka Madre,CC BY-NC-SA,small,141,1582,training
4099,Stalin's Head,International,Polka Madre,CC BY-NC-SA,small,205,1573,training
4100,Gitanas Mojadas,International,Polka Madre,CC BY-NC-SA,small,184,4187,training
4101,Karjalainen Tanssi,International,Polka Madre,CC BY-NC-SA,small,127,2158,training
4102,Herasinkuoleena,International,Polka Madre,CC BY-NC-SA,small,201,2128,training
4103,Circo Del Siglo,International,Polka Madre,CC BY-NC-SA,small,261,3365,training
4108,New Wave Hippies,Rock,Psychedelic Horseshit,CC BY-NC-SA,small,132,8165,test
4232,Bowmazan Ya Mahaba  Bi Kidude song ,International,The Sounds of Taraab,CC BY-NC-SA,small,393,4170,training
4233,Interview,International,The Sounds of Taraab,CC BY-NC-SA,small,307,1758,training
4234,Mapenzi Matamu,International,The Sounds of Taraab,CC BY-NC-SA,small,317,2716,training
4235,Kanilemaza  Ikhwani Safaa,International,The Sounds of Taraab,CC BY-NC-SA,small,557,1897,training
4236,Enyi Wana Damu  Sharmila and Black Star Orchestra,International,The Sounds of Taraab,CC BY-NC-SA,small,307,1760,training
4239,Shishituki,International,The Sounds of Taraab,CC BY-NC-SA,small,294,5440,training
4450,Adventures of Castle One,Folk,Twi the Humble Feather,CC BY-NC-SA,small,241,541,training
4507,Mon Amant de St. Jean,International,Yan Yalego,CC BY-NC-SA,small,237,3765,training
4508,Five Foot Two,International,Yan Yalego,CC BY-NC-SA,small,277,2087,training
4509,Haricots,International,Yan Yalego,CC BY-NC-SA,small,215,2391,training
4510,no title,International,Yan Yalego,CC BY-NC-SA,small,238,2322,training
4511,Petit 'n Mwen,International,Yan Yalego,CC BY-NC-SA,small,313,3946,training
4519,Golden,Electronic,High Places,CC BY-NC-SA,small,117,28728,training
4520,From Stardust to Sentience,Electronic,High Places,CC BY-NC-SA,small,199,18365,training
4521,Namer,Electronic,High Places,CC BY-NC-SA,small,184,23431,training
4522,Oceanus,Electronic,High Places,CC BY-NC-SA,small,259,17222,training
4682,Asylum (Permanent Underclass),Hip-Hop,Dälek,CC BY-NC-SA,small,337,3694,training
4684,Eyes to Form Shadows,Hip-Hop,Dälek,CC BY-NC-SA,small,392,1707,training
4685,Ever Somber,Hip-Hop,Dälek,CC BY-NC-SA,small,332,2770,training
4688,Culture for Dollars,Hip-Hop,Dälek,CC BY-NC-SA,small,376,1086,training
4777,Firecracker,Rock,Half Japanese,CC BY-NC-SA,small,183,11941,training
4778,Too Much Fun,Rock,Half Japanese,CC BY-NC-SA,small,121,6931,training
4779,Secret Admirer,Rock,Half Japanese,CC BY-NC-SA,small,149,2675,training
4780,Too Much Adrenaline,Rock,Half Japanese,CC BY-NC-SA,small,76,4485,training
4781,No Big Deal,Rock,Half Japanese,CC BY-NC-SA,small,131,3247,training
4782,Thing With a Hook,Rock,Half Japanese,CC BY-NC-SA,small,165,2466,training
4784,Rosemary's Baby,Rock,Half Japanese,CC BY-NC-SA,small,124,5091,training
4785,I Know How It Feels...Bad,Rock,Half Japanese,CC BY-NC-SA,small,151,2795,training
4786,"1,000,000 Kisses",Rock,Half Japanese,CC BY-NC-SA,small,120,2646,training
4787,Nicole Told Me,Rock,Half Japanese,CC BY-NC-SA,small,165,2741,training
4788,Fire To Burn,Rock,Half Japanese,CC BY-NC-SA,small,159,3340,training
4799,I've Got a Love,Rock,Harvey Milk,CC BY-NC-SA,small,242,2570,training
4835,Steak,Rock,Peelander-Z,CC BY-NC-SA,small,243,2530,training
4836,Panda Punk Tongue,Rock,Peelander-Z,CC BY-NC-SA,small,214,2644,training
4838,Punk Rock,Rock,Peelander-Z,CC BY-NC-SA,small,268,4430,training
5006,"So Long, Silver Lining",Rock,New Bomb Turks,CC BY-NC-SA,small,121,5982,training
5156,Circles,Folk,Peter Biedermann,CC BY-NC-SA,small,324,1864,training
5157,Copenhagen,Folk,Peter Biedermann,CC BY-NC-SA,small,298,1447,training
5158,Running,Folk,Peter Biedermann,CC BY-NC-SA,small,226,2854,training
5159,Christiania,Folk,Peter Biedermann,CC BY-NC-SA,small,286,1475,training
5169,The Uncommon Man,Folk,Peter Biedermann,CC BY-NC-SA,small,329,1608,training
5170,Labyrinth,Folk,Peter Biedermann,CC BY-NC-SA,small,356,1973,training
5171,Cover Up,Folk,Peter Biedermann,CC BY-NC-SA,small,199,2133,training
5191,Say What You Feel,Pop,caUSE co-MOTION,CC BY-NC-SA,small,95,534,validation
5264,Classical Homicide,Hip-Hop,Dälek,CC BY-NC-SA,small,431,1238,training
5268,3 Rocks Blessed,Hip-Hop,Dälek,CC BY-NC-SA,small,260,4020,training
5879,Rock and Tree,Folk,Bob Wiseman,CC BY-NC-SA,small,321,925,training
5936,Traveling,Folk,Susanna,CC BY-NC-SA,small,207,2184,training
5940,When It Rains,Folk,Howard Fishman,CC BY-NC-SA,small,184,900,training
6329,Krivo Kopanitsa Horo,International,Sheqer,CC BY-NC-SA,small,225,918,training
6330,Nie Zama Nie Sema,International,The Sounds of Taraab,CC BY-NC-SA,small,201,1317,training
6331,track 1,International,Kavala Brass Band,CC BY-NC-SA,small,337,1617,validation
6332,Taso's Hasapiko,International,Raya Brass Band,CC BY-NC-SA,small,344,602,training
6333,track 01,International,Scott Wilson & Efendi,CC BY-NC-SA,small,277,1523,validation
6342,Doulab Nahawand Murassaa,International,Zikrayat,CC BY-NC-SA,small,290,3589,training
6354,Daka Koz,International,The Sounds of Taraab,CC BY-NC-SA,small,214,1015,training
6357,Zaharoula,International,Raya Brass Band,CC BY-NC-SA,small,214,510,training
6358,track 2,International,Kavala Brass Band,CC BY-NC-SA,small,287,762,validation
6360,Sabah Sabah Seyredelim Yaliyi,International,Orkestra Keyif,CC BY-NC-SA,small,291,5002,training
6363,track 02,International,Scott Wilson & Efendi,CC BY-NC-SA,small,350,1276,validation
6367,"Manowe, Mahaba Wa Takanini, Mapenz",International,The Sounds of Taraab,CC BY-NC-SA,small,236,856,training
6368,track 3,International,Kavala Brass Band,CC BY-NC-SA,small,196,1143,validation
6370,Leventikos,International,Raya Brass Band,CC BY-NC-SA,small,342,382,training
6372,track 03,International,Scott Wilson & Efendi,CC BY-NC-SA,small,274,1567,validation
6373,Semseyemin Ucu Kare with Oud Solo by Haig Manoukian,International,Orkestra Keyif,CC BY-NC-SA,small,307,2598,training
6376,track 4,International,Kavala Brass Band,CC BY-NC-SA,small,289,643,validation
6379,Matamu Choz,International,The Sounds of Taraab,CC BY-NC-SA,small,303,1385,training
6380,track 04,International,Scott Wilson & Efendi,CC BY-NC-SA,small,180,1675,validation
6381,Kateva Lenko,International,Raya Brass Band,CC BY-NC-SA,small,294,745,training
6382,Svadbeni Cocek,International,Sheqer,CC BY-NC-SA,small,390,1037,training
6383,Telegrafin Tellerine,International,Orkestra Keyif,CC BY-NC-SA,small,312,4867,training
6385,track 05,International,Scott Wilson & Efendi,CC BY-NC-SA,small,221,2138,validation
6387,Karsilamas Hrysodaktili,International,Raya Brass Band,CC BY-NC-SA,small,211,1113,training
6389,Kwala Ulala Huez,International,The Sounds of Taraab,CC BY-NC-SA,small,311,1716,training
6390,track 5,International,Kavala Brass Band,CC BY-NC-SA,small,385,881,validation
6394,Bufchansko,International,Sheqer,CC BY-NC-SA,small,443,493,training
6396,Sarki,International,Sheqer,CC BY-NC-SA,small,440,615,training
6406,The Hungry Stones,Folk,MV + EE,CC BY-NC-SA,small,157,1423,training
6407,Huna Cosm,Folk,MV + EE,CC BY-NC-SA,small,429,655,training
6439,Crossover,Hip-Hop,EPMD,CC BY-NC-SA,small,173,13720,training
6440,Rampage,Hip-Hop,EPMD,CC BY-NC-SA,small,138,5193,training
6442,Richter Scale,Hip-Hop,EPMD,CC BY-NC-SA,small,80,2423,training
6443,Music,Hip-Hop,EPMD,CC BY-NC-SA,small,159,2635,training
6448,Please Listen To My Demo,Hip-Hop,EPMD,CC BY-NC-SA,small,100,2233,training
6461,Florida Rain,Folk,Matt Bauer,CC BY-NC-SA,small,153,1122,validation
6463,Are You the One?,Folk,Matt Bauer,CC BY-NC-SA,small,198,596,validation
6467,As She Came Out of  the Water,Folk,Matt Bauer,CC BY-NC-SA,small,186,589,validation
6469,Derya'da Deryaliklar,International,Orkestra Keyif,CC BY-NC-SA,small,308,4145,training
6517,Stars,Rock,Sakura Madams,CC BY-NC-SA,small,165,2771,training
6519,Somebody To Love,Rock,Sakura Madams,CC BY-NC-SA,small,215,2564,training
6603,The Woods,Hip-Hop,Height With Friends,CC BY-NC-SA,small,116,2088,training
6605,Bad Weather,Hip-Hop,Height With Friends,CC BY-NC-SA,small,109,1795,training
6606,Smash Your Eyes,Hip-Hop,Height With Friends,CC BY-NC-SA,small,153,1554,training
6607,The World,Hip-Hop,Height With Friends,CC BY-NC-SA,small,124,1598,training
6608,Cavalcade Lagoons,Hip-Hop,Height With Friends,CC BY-NC-SA,small,143,1160,training
6609,2009,Hip-Hop,Height With Friends,CC BY-NC-SA,small,78,1725,training
6610,Clack Struck Twelve,Hip-Hop,Height With Friends,CC BY-NC-SA,small,109,1185,training
6611,Escape Tune,Hip-Hop,Height With Friends,CC BY-NC-SA,small,100,1628,training
6762,Western States,Folk,Matt Bauer,CC BY-NC-SA,small,314,1760,validation
6779,Castle By the Sea,Folk,Cath and Phil Tyler,CC BY-NC-SA,small,230,865,validation
6782,Sunshine,Folk,Cath and Phil Tyler,CC BY-NC-SA,small,228,1355,validation
6783,Fisherman's Girl,Folk,Cath and Phil Tyler,CC BY-NC-SA,small,195,693,validation
6788,Tokugiri Star,Rock,Peelander-Z,CC BY-NC-SA,small,268,2759,training
6802,Spanish Civil War Tribute,International,Watcha Clan,CC BY-NC-SA,small,182,4725,training
6803,Balkan Qoulou,International,Watcha Clan,CC BY-NC-SA,small,280,2312,training
6857,Drone Trailer,Folk,MV + EE and Willie Lane,CC BY-NC-SA,small,475,1460,training
7373,heartbreaker,Experimental,Lucky Dragons,CC BY-NC-SA,small,126,4325,test
7374,new homes,Experimental,Lucky Dragons,CC BY-NC-SA,small,112,3373,test
7375,cherchez le dragon,Experimental,Lucky Dragons,CC BY-NC-SA,small,154,2555,test
7376,about peter,Experimental,Lucky Dragons,CC BY-NC-SA,small,68,1418,test
7377,with new trees,Experimental,Lucky Dragons,CC BY-NC-SA,small,66,2508,test
7378,resurrect dead on planet jupiter,Experimental,Lucky Dragons,CC BY-NC-SA,small,128,1277,test
7379,it's hard to fall asleep,Experimental,Lucky Dragons,CC BY-NC-SA,small,102,2252,test
7381,i'd play at the rotunda,Experimental,Lucky Dragons,CC BY-NC-SA,small,108,979,test
7383,i hear horrible music,Experimental,Lucky Dragons,CC BY-NC-SA,small,148,1847,test
7385,my imaginary scary home,Experimental,Lucky Dragons,CC BY-NC-SA,small,83,11911,test
7386,its hard to wake up,Experimental,Lucky Dragons,CC BY-NC-SA,small,163,930,test
7388,girlworld (3 in a bed mix),Experimental,Lucky Dragons,CC BY-NC-SA,small,163,869,test
7391,all these wires between us,Experimental,Lucky Dragons,CC BY-NC-SA,small,163,29134,test
7393,leaving things as they are,Experimental,Lucky Dragons,CC BY-NC-SA,small,75,867,test
7495,Soft South Africans,Rock,Homosexuals,CC BY-NC-SA,small,247,2900,training
8056,Get It While You Can,Rock,The Dirtbombs,CC BY-NC-SA,small,151,1837,training
8208,Rocket USA,Rock,Alan Vega & Oneida,CC BY-NC-SA,small,498,4017,training
8256,Sugar In My Coffin,Folk,Curtis Eller,CC BY-NC-SA,small,206,1196,training
8259,Always Sugar for the Horses,Folk,Curtis Eller,CC BY-NC-SA,small,179,786,training
8261,Black Diamond,Folk,Curtis Eller,CC BY-NC-SA,small,286,615,training
9152,1991,Experimental,dj smallcock,CC BY-NC-SA,small,213,1925,training
9155,Tossypot,Experimental,Peeled Hearts Paste,CC BY-NC-SA,small,351,751,test
9476,Plight Of The Bumblebee,Experimental,A Kombi,CC BY-NC-SA,small,382,1240,training
9477,Colour Me Your Colour,Experimental,Justice Yeldham,CC BY-NC-SA,small,241,3004,training
9491,Rape Me,Rock,Toxic Lipstick,CC BY-NC-SA,small,123,2433,training
9505,168 Toronto 260305,Experimental,Justice Yeldham,CC BY-NC-SA,small,308,1145,training
9511,Message From the Law,Rock,Sic Alps,CC BY-NC-SA,small,154,7401,training
9512,Eywat Setenafegagn,International,Getatchew Mekuria &amp; The Ex &amp; Guests,CC BY-NC-SA,small,305,4248,training
9513,Cold Water,Rock,Old Time Relijun,CC BY-NC-SA,small,478,9844,training
9550,Slippershell,Rock,Kristin Hersh,CC BY-NC-SA,small,304,3393,validation
9553,Morning Birds,Rock,Kristin Hersh,CC BY-NC-SA,small,362,2293,validation
9555,Krait,Rock,Kristin Hersh,CC BY-NC-SA,small,334,2795,validation
9557,Moan,Rock,Kristin Hersh,CC BY-NC-SA,small,297,3567,validation
9559,Mississippi Kite,Rock,Kristin Hersh,CC BY-NC-SA,small,288,3264,validation
9560,Fortune,Rock,Kristin Hersh,CC BY-NC-SA,small,256,2825,validation
9678,Riboflavin Horror,Experimental,Volvox,CC BY-NC-SA,small,185,1785,training
9721,Track 01,Experimental,Justice Yeldham,CC BY-NC-SA,small,413,1601,training
